timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802753,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,4,0,0
1747329802755,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802756,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802757,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802757,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802758,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802759,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802760,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802761,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802760,7,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,7,0,0
1747329802763,5,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,5,0,0
1747329802766,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802768,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802768,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802769,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802770,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802771,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
